Condo,Size,Rooms,Toilets,Suites,Parking,Elevator,Furnished,Swimming Pool,New,District,Negotiation_Type,Property Type,Latitude,Longitude,Price
220,47,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.543138,-46.479486,930
148,45,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.550239,-46.480718,1000
100,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.542818,-46.485665,1000
200,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.547171,-46.483014,1000
410,55,2,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.525025,-46.482436,1300
0,50,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,1170
180,52,1,2,1,1,1,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.54984,-46.484137,1000
150,40,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.53974,-46.49267,900
0,65,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,1000
0,100,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.548751,-46.477195,1000
160,38,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.55185,-46.491169,760
150,48,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.545761,-46.479509,800
130,56,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.552073,-46.483411,900
200,56,2,2,1,1,0,0,0,0,Artur Alvim/São Paulo,rent,apartment,-23.541366,-46.483726,1000
418,54,2,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.543955,-46.586619,1800
416,45,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,1600
337,55,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.546104,-46.594579,1500
306,43,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.534606,-46.595084,1600
150,80,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.53962,-46.596337,1600
420,46,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,1600
800,67,3,2,1,1,1,1,0,0,Belém/São Paulo,rent,apartment,-23.53838,-46.589441,1900
720,68,3,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538163,-46.591505,2500
743,63,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.540023,-46.586898,1400
530,59,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.544698,-46.602114,1800
2893,230,3,2,1,2,0,0,0,0,Belém/São Paulo,rent,apartment,-23.540212,-46.585702,1500
857,113,3,2,1,2,1,0,0,0,Belém/São Paulo,rent,apartment,-23.538134,-46.594059,2300
530,68,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538163,-46.591505,2250
445,65,2,2,1,1,0,0,1,0,Belém/São Paulo,rent,apartment,-23.532871,-46.601244,1700
290,55,2,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.534606,-46.595084,1726
450,50,1,2,1,1,1,0,1,0,Belém/São Paulo,rent,apartment,-23.546089,-46.590325,1700
300,48,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.546104,-46.594579,1600
140,36,1,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.538794,-46.605664,810
811,107,3,3,1,2,1,0,1,0,Belém/São Paulo,rent,apartment,-23.538767,-46.594706,3000
800,150,3,4,3,2,1,1,0,0,Belém/São Paulo,rent,apartment,-23.550987,-46.590908,6000
760,60,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.53838,-46.589441,1750
857,113,3,2,1,2,1,0,0,0,Belém/São Paulo,rent,apartment,-23.538134,-46.594059,2500
1450,155,3,4,3,3,1,1,0,0,Belém/São Paulo,rent,apartment,-23.540085,-46.593312,3800
300,66,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.537299,-46.583385,1600
692,57,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.530025,-46.600427,990
500,57,2,2,1,2,0,0,1,0,Belém/São Paulo,rent,apartment,-23.543955,-46.586619,1850
377,55,2,2,1,1,1,1,0,0,Belém/São Paulo,rent,apartment,-23.535523,-46.593554,1950
400,85,2,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.536996,-46.591994,1099
907,114,4,3,2,2,0,0,1,0,Belém/São Paulo,rent,apartment,-23.538904,-46.589456,2300
275,80,3,2,1,1,0,0,0,0,Belém/São Paulo,rent,apartment,-23.53718,-46.593103,1500
289,44,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.559264,-46.575407,1300
374,55,2,2,1,1,1,1,0,0,Belém/São Paulo,rent,apartment,-23.536768,-46.593884,1900
500,51,2,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.538535,-46.595799,1350
857,115,3,2,1,2,1,0,1,0,Belém/São Paulo,rent,apartment,-23.538282,-46.593159,2500
750,73,3,2,1,1,1,0,0,0,Belém/São Paulo,rent,apartment,-23.537348,-46.588941,2500
0,48,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.502336,-46.523243,1200
0,65,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.506197,-46.522358,1450
590,64,3,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.509447,-46.530638,1100
560,58,2,2,1,1,0,0,1,0,Cangaíba/São Paulo,rent,apartment,-23.510982,-46.542666,870
310,57,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.49777,-46.511826,1300
380,58,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.510943,-46.52949,1000
546,96,3,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508423,-46.530246,1100
250,48,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.503393,-46.523542,1100
0,40,1,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.509073,-46.53732,800
400,62,2,2,1,1,1,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.508439,-46.530778,1200
250,53,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.505049,-46.527093,900
0,52,2,2,1,1,0,0,0,0,Cangaíba/São Paulo,rent,apartment,-23.504686,-46.513013,1150
